Nome,Time,Colegio,Jogos Totais,Tentativas de Rush,Touchdowns com Rush
Jonathan Taylor,Indianapolis Colts,Wisconsin,32,564,29
Devin Singletary,Buffalo Bills,Florida Atlantic,1,8,0
AJ Dillon ,Green Bay Packers,Boston Col.,28,233,7
Leonard Fournette,Tampa Bay Buccaneers,LSU,63,943,31
Damien Harris,New England Patriots,Alabama,27,343,17
James Conner,Arizona Cardinals,Pittsburgh,65,734,37
Myles Gaskin,Miami Dolphins,Washington,34,351,7
Javonte Williams,Denver Broncos,North Carolina,17,203,4
Melvin Gordon,Denver Broncos,Wisconsin,98,1477,53
Elijah Mitchell,San Francisco 49ers,Louisiana,11,207,5
Austin Ekeler,Los Angeles Chargers,Western St. (CO),72,607,21
Josh Jacobs,Las Vegas Raiders,Alabama,43,732,28
Sony Michel,Los Angeles Chargers,Georgia,55,743,18
Nick Chubb,Cleveland Browns,Georgia,58,908,36
Derrick Henry ,Tennessee Titans,Alabama,86,1401,65
David Montgomery,Chicago Bears,Iowa St.,44,714,21
Pharoh Cooper,March 7,,70,59,1
Derek Watt,Pittsburgh Steelers,Wisconsin,93,20,1
Olamide Zaccheaus,Atlanta Falcons,Virginia,38,54,5
Andrew Wingard,Jacksonville Jaguars,Wyoming,44,3,
Preston Williams,March 27,,24,56,7
Quez Watkins,Philadelphia Eagles,Southern Miss,23,50,2
Adam Thielen,Minnesota Vikings,Minnesota St.,118,464,49
Kenny Stills,April 22,,130,316,38
Tremon Smith,Houston Texans,,49,,
Shi Smith,Carolina Panthers,South Carolina,6,6,0
Jeff Smith,New York Jets,Boston Col.,25,26,0
Darius Slayton,New York Giants,Auburn,43,124,13
Sterling Shepard,New York Giants,Oklahoma,72,349,21
Ito Smith,September 11,,36,176,7
John Ross,November 27,,37,62,11
Cam Sims,Washington Commanders,Alabama,38,49,3
Trey Ragas,November 7,,1,2,0
Amari Rodgers,Green Bay Packers,Clemson,16,,
Chester Rogers,January 12,,69,141,6
Breshad Perriman,Tampa Bay Buccaneers,Central Florida,69,136,15
Devine Ozigbo,October 2,,21,13,0
Josh Palmer,Los Angeles Chargers,Tennessee,17,33,4
Michael Palardy,July 6,,72,,50.0
K.J. Osborn,Minnesota Vikings,Buffalo,26,50,7
David Njoku,Cleveland Browns,Miami (FL),65,148,15
Gunner Olszewski,Pittsburgh Steelers,Bemidji St.,37,,
Ryan Nall,December 27,,33,9,1
Stanley Morgan Jr.,Cincinnati Bengals,Nebraska,34,5,0
Dax Milne,Washington Commanders,BYU,13,9,0
Jakobi Meyers,New England Patriots,North Carolina St.,46,168,2
C.J. Moore,December 15,,45,2,0
Braden Mann,New York Jets,Texas A&M,26,,
Terry McLaurin,Washington Commanders,Ohio St.,46,222,16
D.K. Metcalf,Seattle Seahawks,Mississippi,49,216,29
Patrick Laird,August 17,,37,76,1
Cole Kmet,Chicago Bears,Notre Dame,33,88,2
Christian Kirk,Jacksonville Jaguars,Texas A&M,56,236,17
DeSean Jackson,December 1,,176,632,58
Johnny Hekker,Carolina Panthers,Oregon St.,161,,60.9
Andy Lee,Arizona Cardinals,Pittsburgh,280,,66.7
Cyril Grayson,December 5,,10,11,2
Evan Engram,Jacksonville Jaguars,Mississippi,65,262,16
Zach Ertz,Arizona Cardinals,Stanford,134,635,41
Nate McCrary,April 9,,1,,
Mike Evans,Tampa Bay Buccaneers,Texas A&M,122,606,75
Clayton Fejedelem ,Miami Dolphins,Illinois,94,5,0
Eric Ebron,April 10,,106,351,33
Bryan Edwards,Atlanta Falcons,South Carolina,28,45,4
Jamie Gillan,New York Giants,Ark-Pine Bluff,44,2,0
Ryan Fitzpatrick,November 24,,166,,60.7
Maurice Ffrench,January 1,,3,,
Greg Dortch,Arizona Cardinals,Wake Forest,7,3,0
Phillip Dorsett,Houston Texans,Miami (FL),77,131,11
Marquise Brown,Arizona Cardinals,College of the Canyons (CA),46,195,21
Jaelon Darden,Tampa Bay Buccaneers,North Texas,9,6,0
Nathan Cottrell,August 2,,12,,
Chris Conley,October 25,,100,213,15
Dyami Brown,Washington Commanders,North Carolina,15,12,0
Sean Chandler,Carolina Panthers,Temple,47,,
Randall Cobb,Green Bay Packers,Kentucky,142,591,52
Antonio Brown,July 10,,146,928,83
Reggie Bonnafon,January 4,,22,29,1
C.J. Board,December 12,,24,17,0
David Blough,July 31,,7,,54.3
C.J. Beathard,Jacksonville Jaguars,Iowa,21,,58.7
Gary Brightwell,New York Giants,Arizona,13,1,0
Mark Andrews,Baltimore Ravens,Oklahoma,62,263,29
Alex Bachman,May 29,,4,,
Jordan Akins,April 19,,58,114,3
Jaylen Waddle,Miami Dolphins,Alabama,16,104,6
John Wolford,Los Angeles Rams,Wake Forest,4,,54.8
Cedrick Wilson Jr.,Miami Dolphins,Boise St.,38,67,8
Davis Webb,January 22,,1,2,0
James Washington,Dallas Cowboys,Oklahoma St.,60,114,11
Durham Smythe,Miami Dolphins,Notre Dame,63,73,2
Emmanuel Sanders,March 17,,172,704,51
Zach Pascal,Philadelphia Eagles,Old Dominion,64,150,15
Patrick Ricard,Baltimore Ravens,Maine,70,29,5
Raheem Mostert,Miami Dolphins,Purdue,59,284,11
Scott Miller,Tampa Bay Buccaneers,Bowling Green,35,51,4
Ray-Ray McCloud,San Francisco 49ers,Clemson,48,64,0
Nathan Peterman,May 4,,10,,52.6
Jacques Patrick,January 7,,2,2,0
Sean Mannion,April 25,,14,,60.9
Jerry Jeudy,Denver Broncos,Alabama,26,90,3
Dallin Leavitt,Green Bay Packers,Utah St.,42,2,0
John Kelly,October 4,,12,32,0
Travis Kelce,Kansas City Chiefs,Cincinnati,127,704,57
Zay Jones,Jacksonville Jaguars,East Carolina,79,171,11
Van Jefferson,Los Angeles Rams,Mississippi,33,69,7
Marcus Johnson,August 5,,41,51,3
Tyler Lockett,Seattle Seahawks,Kansas St.,111,449,45
Chase Daniel,Los Angeles Chargers,Missouri,70,,68.2
Andy Janovich,May 23,,77,27,1
Brandin Cooks,Houston Texans,Oregon St.,119,573,46
Marquise Goodwin,Seattle Seahawks,Texas,89,160,14
Alec Ingold,Miami Dolphins,Wisconsin,41,28,3
Jake Funk,Los Angeles Rams,Maryland,1,0,0
Joe Flacco,New York Jets,Pittsburgh,178,,61.7
Darrynton Evans,July 9,,6,16,0
Tim Boyle,October 3,,16,,65.3
Kurt Benkert,July 17,,1,2,0
Cameron Batson,December 20,,27,22,2
Kyle Allen,Houston Texans,Texas A&M,21,,63.1
Tommy Tremble,Carolina Panthers,Notre Dame,16,20,1
A.J. Brown,Philadelphia Eagles,Mississippi,43,185,24
Tyler Boyd,Cincinnati Bengals,Pittsburgh,87,388,24
Odell Beckham Jr.,November 5,,96,531,56
Kadarius Toney,New York Giants,Florida,10,39,0
Andre Roberts,Carolina Panthers,The Citadel,179,262,15
Chris Streveler,January 6,,7,,68.0
Hunter Renfrow,Las Vegas Raiders,Clemson,46,208,15
Johnny Stanton,September 7,,5,3,0
Equanimeous St. Brown,Chicago Bears,Notre Dame,37,37,1
JuJu Smith-Schuster,Kansas City Chiefs,USC,63,323,26
Henry Ruggs III,January 24,,20,50,4
Adam Prentice,New Orleans Saints,South Carolina,7,3,0
Allen Lazard ,Green Bay Packers,Iowa St.,42,109,14
Reggie Gilliam,Buffalo Bills,Toledo,1,0,0
Feleipe Franks,Atlanta Falcons,Florida,9,3,0
Gerald Everett,Los Angeles Chargers,South Alabama,76,175,12
Anthony McFarland Jr.,March 4,,13,36,0
George Kittle,San Francisco 49ers,Iowa,67,335,20
Gabe Nabers,November 5,,26,8,2
Sam Ehlinger,Indianapolis Colts,Texas,3,3,0
Ashton Dulin,Indianapolis Colts,Malone,43,18,2
Damarea Crockett,Denver Broncos,Missouri,12,3,0
Trenton Cannon,July 23,,46,51,1
Jason Cabinda,Detroit Lions,Penn St.,44,6,1
Ian Book,Philadelphia Eagles,Notre Dame,1,,60.0
Tavon Austin,March 15,,113,244,16
Khari Blasingame,Chicago Bears,Vanderbilt,32,10,0
Robby Anderson,Carolina Panthers,Temple,95,355,28
Cooper Kupp,Los Angeles Rams,East. Washington,1,13,1
Kalif Raymond,Detroit Lions,Holy Cross,51,67,5
Nelson Agholor,New England Patriots,USC,102,309,29
JaQuan Hardy,December 31,,3,4,1
Albert Wilson,July 12,,89,218,12
Dwayne Washington,New Orleans Saints,Washington,71,157,1
Curtis Samuel,Washington Commanders,Ohio St.,58,191,14
Chris Godwin,Tampa Bay Buccaneers,Penn St.,72,342,29
Mike Boone,Denver Broncos,Cincinnati,48,75,4
Kenjon Barner,Tampa Bay Buccaneers,Oregon,76,104,3
Mike White,New York Jets,South Florida,4,,66.7
Freddie Swain,August 4,,33,38,6
Nick Foles ,Indianapolis Colts,Arizona,68,,62.4
D'Wayne Eskridge,Seattle Seahawks,Western Michigan,10,10,1
Blake Bell,Kansas City Chiefs,Oklahoma,97,58,0
Wendell Smallwood,January 20,,56,238,5
Elijah Moore,New York Jets,Mississippi,11,43,5
Diontae Johnson,Pittsburgh Steelers,Toledo,47,254,20
Mekhi Sargent,October 8,,7,5,0
Buddy Howell,March 27,,55,26,0
Jaylen Samuels,July 20,,45,136,1
Mason Rudolph,Pittsburgh Steelers,Oklahoma St.,17,,61.5
Michael Pittman Jr.,Indianapolis Colts,USC,30,128,7
Deonte Harty,New Orleans Saints,Assumption,36,62,4
Jakeem Grant,Cleveland Browns,Texas Tech,81,100,7
Alex Armah,May 17,,68,26,3
Cam Akers,Los Angeles Rams,Florida St.,1,3,0
Brandon Aiyuk,San Francisco 49ers,Arizona St.,29,116,10
Logan Woodside,January 27,,11,13,0
Anthony Schwartz,Cleveland Browns,Auburn,14,10,1
Scottie Phillips,October 6,,11,8,0
Darnell Mooney,Chicago Bears,Tulane,33,142,8
Jarvis Landry,New Orleans Saints,LSU,123,688,37
Justin Jefferson,Minnesota Vikings,LSU,33,196,17
P.J. Walker,Carolina Panthers,Temple,9,,55.7
Amon-Ra St. Brown,Detroit Lions,USC,17,90,5
C.J. Ham,Minnesota Vikings,Augustana (SD),79,60,2
Jalen Guyton,Los Angeles Chargers,North Texas,35,59,6
Mike Glennon,December 12,,40,,60.1
Demetric Felton,Cleveland Browns,UCLA,16,18,2
Devin Duvernay,Baltimore Ravens,Texas,32,53,2
Ja'Marr Chase,Cincinnati Bengals,LSU,17,81,13
Braxton Berrios,New York Jets,Miami (FL),48,89,5
Brandon Allen,Cincinnati Bengals,Arkansas,14,,56.2
Jamal Agnew,Jacksonville Jaguars,San Diego,56,40,1
Robert Woods,Tennessee Titans,USC,125,570,35
La'Mical Perine,January 30,,14,72,2
D.J. Moore,Carolina Panthers,Maryland,63,301,14
Kyle Juszczyk,San Francisco 49ers,Harvard,139,229,13
Chad Henne,Kansas City Chiefs,Michigan,75,,59.6
Mecole Hardman,Kansas City Chiefs,Georgia,49,126,12
Jake Fromm,July 30,,3,,45.0
Giovani Bernard,Tampa Bay Buccaneers,North Carolina,127,929,22
Michael Burton,Kansas City Chiefs,Rutgers,96,23,1
Jonathan Ward,Arizona Cardinals,Central Michigan,27,9,0
Keith Smith,Atlanta Falcons,San Jose St.,112,34,0
Jonnu Smith,New England Patriots,Florida International,76,142,17
Geno Smith,Seattle Seahawks,West Virginia,45,,58.8
Trevor Siemian,Chicago Bears,Northwestern,33,,58.9
Cooper Rush,November 21,,10,,62.0
Jalen Richard,October 15,,87,264,4
Isaiah McKenzie,Buffalo Bills,Georgia,1,2,1
Gardner Minshew II,Philadelphia Eagles,Northwest Mississippi CC,27,,63.2
CeeDee Lamb,Dallas Cowboys,Oklahoma,32,153,11
Josh Johnson,May 15,,37,,58.1
Tyreek Hill,Miami Dolphins,West Alabama,91,479,56
Blaine Gabbert,Tampa Bay Buccaneers,Missouri,66,,56.3
James White,February 3,,95,381,25
Jalen Reagor,Minnesota Vikings,TCU,28,64,3
Kylin Hill,Green Bay Packers,Mississippi St.,8,10,0
Drew Lock,Seattle Seahawks,Missouri,24,,59.3
DeAndre Carter,Los Angeles Chargers,Sacramento St.,60,58,3
Laviska Shenault Jr.,Carolina Panthers,Colorado,30,121,5
Brian Hoyer,New England Patriots,Michigan St.,75,,59.3
Jerick McKinnon,Kansas City Chiefs,Georgia Southern,87,567,12
Jordan Love,Green Bay Packers,Utah St.,6,,58.1
Case Keenum,Buffalo Bills,Houston,76,,62.4
Kalen Ballage,December 22,,52,213,7
Kendrick Bourne,New England Patriots,East. Washington,75,192,16
Mitchell Trubisky,Pittsburgh Steelers,North Carolina,57,,64.1
Trayveon Williams,Cincinnati Bengals,Texas A&M,26,41,0
Marcus Mariota,Atlanta Falcons,Oregon,74,,62.8
Kene Nwangwu,Minnesota Vikings,Iowa St.,11,13,0
Deon Jackson,Indianapolis Colts,Duke,9,13,1
Jason Huntley,April 20,,6,18,0
Chase Claypool,Pittsburgh Steelers,Notre Dame,31,121,11
Ty Montgomery,New England Patriots,Stanford,78,258,7
Jermar Jefferson,April 15,,7,15,2
Ryquell Armstead,October 30,,18,50,0
Jonathan Williams,Washington Commanders,Arkansas,33,97,3
Jared Goff,Detroit Lions,California,83,,64.1
Rondale Moore,Arizona Cardinals,Purdue,14,54,1
Andy Dalton,New Orleans Saints,TCU,152,,62.2
Jamycal Hasty,Jacksonville Jaguars,Baylor,19,55,2
Chris Evans,Cincinnati Bengals,Michigan,14,17,0
Godwin Igwebuike,September 10,,23,18,1
Davis Mills,Houston Texans,Stanford,13,,66.8
Jacoby Brissett,Cleveland Browns,Florida,60,,60.2
Patrick Taylor,April 29,,9,23,1
Qadree Ollison,September 8,,19,44,5
Tyrod Taylor,New York Giants,Virginia Tech,78,,61.3
J.J. Taylor,January 4,,11,42,2
Travis Homer,Seattle Seahawks,Miami (FL),39,64,1
Ben Roethlisberger,March 2,,249,,64.4
Colt McCoy,Arizona Cardinals,Texas,52,,61.9
Elijhaa Penny,August 17,,77,83,3
Austin Walter,August 17,,9,27,1
Zach Wilson,New York Jets,BYU,13,,55.6
Matt Breida,New York Giants,Georgia Southern,64,466,7
Marlon Mack,March 7,,47,567,20
Wayne Gallman,October 1,,61,366,9
Kirk Cousins,Minnesota Vikings,Michigan St.,125,,66.9
Teddy Bridgewater,Miami Dolphins,Louisville,73,,66.5
Tom Brady,Tampa Bay Buccaneers,Michigan,318,,64.2
Jameis Winston,New Orleans Saints,Florida St.,83,,61.2
Joshua Kelley,Los Angeles Chargers,UC Davis,24,144,2
DeeJay Dallas,Seattle Seahawks,Miami (FL),29,67,4
Eno Benjamin,Arizona Cardinals,Arizona St.,9,34,1
Corey Clement,November 2,,63,196,7
Malcolm Brown,May 15,,77,331,12
Matthew Stafford,Los Angeles Rams,Georgia,1,,70.7
Aaron Rodgers,Green Bay Packers,Butte JC (CA),213,,65.3
Trey Lance,San Francisco 49ers,North Dakota St.,6,,57.7
Ke'Shawn Vaughn,Tampa Bay Buccaneers,Illinois,22,62,2
Benny Snell Jr.,Pittsburgh Steelers,Kentucky,46,255,6
Larry Rountree,February 13,,12,36,1
Baker Mayfield,Carolina Panthers,Oklahoma,60,,61.6
Adrian Peterson,March 21,,184,3230,120
Ty'Son Williams,September 4,,13,35,1
Jimmy Garoppolo,San Francisco 49ers,Eastern Illinois,63,,67.7
Trey Sermon,Philadelphia Eagles,Oklahoma,9,41,1
Le'Veon Bell,February 18,,96,1595,42
Tua Tagovailoa,Miami Dolphins,Alabama,23,,66.2
Damien Williams,Atlanta Falcons,Oklahoma,97,334,14
Matt Ryan,Indianapolis Colts,Boston Col.,222,,65.5
Derek Carr,Las Vegas Raiders,Fresno St.,127,,65.0
Joe Burrow,Cincinnati Bengals,Ohio St.,26,,68.2
Jeremy McNichols,Pittsburgh Steelers,Boise St.,34,90,1
Russell Wilson,Denver Broncos,Wisconsin,158,,65.0
Mac Jones,New England Patriots,Alabama,17,,67.6
J.D. McKissic,Washington Commanders,Arkansas St.,62,221,4
Dare Ogunbowale,Houston Texans,Wisconsin,51,86,3
Brandon Bolden,Las Vegas Raiders,Mississippi,131,283,12
Cam Newton,May 11,,148,,59.9
Tyler Huntley,Baltimore Ravens,Utah,9,,64.8
Dak Prescott,Dallas Cowboys,Mississippi St.,85,,66.6
Sam Darnold,Carolina Panthers,USC,50,,59.8
Derrick Gore,December 13,,11,51,2
Ameer Abdullah,Las Vegas Raiders,Nebraska,91,409,6
Tony Jones,New Orleans Saints,Notre Dame,12,57,0
Peyton Barber,June 27,,89,700,21
Chris Carson,September 16,,49,769,24
Salvon Ahmed,Miami Dolphins,Washington,18,129,3
Ryan Tannehill,Tennessee Titans,Texas A&M,133,,64.2
Craig Reynolds,Detroit Lions,Kutztown (PA),10,56,0
Samaje Perine,Cincinnati Bengals,Oklahoma,60,306,5
Nyheim Hines,Indianapolis Colts,North Carolina St.,65,282,9
Daniel Jones,New York Giants,Duke,38,,62.8
Dontrell Hilliard,Tennessee Titans,Tulane,40,78,4
Royce Freeman,Houston Texans,Oregon,61,353,8
Carson Wentz,Washington Commanders,North Dakota St.,85,,62.6
Deebo Samuel,San Francisco 49ers,South Carolina,38,167,10
Taylor Heinicke,Washington Commanders,Old Dominion,24,,64.6
Ty Johnson,New York Jets,,45,178,3
David Johnson,December 16,,87,995,39
Kenyan Drake,Baltimore Ravens,Alabama,89,758,29
Justin Herbert,Los Angeles Chargers,Oregon,32,,66.2
Patrick Mahomes,Kansas City Chiefs,Texas Tech,63,,66.1
Jaret Patterson,December 23,,17,68,2
Justin Jackson,April 22,,43,206,4
Kenneth Gainwell,Philadelphia Eagles,Memphis,16,68,5
Taysom Hill,New Orleans Saints,BYU,65,,64.2
Justin Fields,Chicago Bears,Georgia,12,,58.9
Trevor Lawrence,Jacksonville Jaguars,Clemson,17,,59.6
Kareem Hunt,Cleveland Browns,Toledo,59,772,28
Jeff Wilson,San Francisco 49ers,North Texas,37,298,13
Jordan Howard,November 2,,71,1018,37
Duke Johnson,September 23,,96,530,11
Tevin Coleman,April 16,,89,777,24
Carlos Hyde,September 20,,102,1225,37
Boston Scott,Philadelphia Eagles,Louisiana Tech,45,228,13
Kyler Murray,Arizona Cardinals,Texas A&M,46,,66.9
D'Ernest Johnson,Cleveland Browns,South Florida,49,137,3
Phillip Lindsay,July 24,,56,622,18
Zack Moss,Buffalo Bills,Utah,1,6,0
Ronald Jones II,Kansas City Chiefs,USC,55,488,18
Christian McCaffrey,Carolina Panthers,Stanford,58,781,30
Khalil Herbert,Chicago Bears,Kansas,17,103,2
Rashaad Penny,Seattle Seahawks,San Diego St.,37,280,11
Alex Collins,August 26,,50,483,18
Chase Edmonds,Miami Dolphins,Fordham,57,333,9
Latavius Murray,January 18,,122,1310,49
Clyde Edwards-Helaire,Kansas City Chiefs,LSU,23,300,8
Rex Burkhead,Houston Texans,Nebraska,99,462,17
Josh Allen,Buffalo Bills,Wyoming,1,,83.9
Tony Pollard,Dallas Cowboys,Memphis,46,317,8
Lamar Jackson,Baltimore Ravens,Louisville,58,,64.1
Devonta Freeman,March 15,,98,1138,38
Rhamondre Stevenson,New England Patriots,Cerritos (CA),12,133,5
D'Onta Foreman,Carolina Panthers,Texas,26,240,5
Alexander Mattison,Minnesota Vikings,Boise St.,42,330,6
Miles Sanders,Philadelphia Eagles,Penn St.,40,480,9
Mike Davis,Baltimore Ravens,South Carolina,79,550,14
Jalen Hurts,Philadelphia Eagles,Alabama,30,,59.0
Darrel Williams,Arizona Cardinals,LSU,51,237,10
Devontae Booker,May 27,,93,527,11
Michael Carter,New York Jets,North Carolina,14,147,4
Darrell Henderson,Los Angeles Rams,Memphis,1,13,0
D'Andre Swift,Detroit Lions,Georgia,26,265,13
Jamaal Williams,Detroit Lions,BYU,73,653,13
Cordarrelle Patterson,Atlanta Falcons,Tennessee,143,320,14
Mark Ingram,New Orleans Saints,Alabama,146,1755,64
Saquon Barkley,New York Giants,Penn St.,44,659,19
James Robinson,Jacksonville Jaguars,Butler (KS),28,404,15
Aaron Jones,Green Bay Packers,Texas-El Paso,69,822,41
Chuba Hubbard,Carolina Panthers,Oklahoma St.,17,172,5
Ezekiel Elliott,Dallas Cowboys,Ohio St.,88,1650,56
Dalvin Cook,Minnesota Vikings,Florida St.,56,1018,39
Antonio Gibson ,Washington Commanders,Memphis,30,428,18
Joe Mixon,Cincinnati Bengals,Oklahoma,66,1104,33
Najee Harris,Pittsburgh Steelers,Alabama,17,307,7
Alvin Kamara,New Orleans Saints,Alabama,73,912,47
